FECHA,COD PIEZA,DESCRIPCION PZA,CLIENTE,OPERACIÓN,TURNO,OPERADOR,MODO DE FALLA,CANT NO OK,CANT TOTAL,TOTAL CONTROLADO,TOTAL PRODUCIDO,DPU
2026-01-05,QA-DEMO-101,CUERPO VALVULA DEMO,CLIENTE FICTICIO NORTE,MECANIZADO,MAÑANA,USR-F01,REBABA,18,500,480,520,0.0375
2026-01-06,QA-DEMO-101,CUERPO VALVULA DEMO,CLIENTE FICTICIO NORTE,MECANIZADO,MAÑANA,USR-F02,REBABA,14,500,475,515,0.0295
2026-01-07,QA-DEMO-101,CUERPO VALVULA DEMO,CLIENTE FICTICIO NORTE,SOLDADURA,TARDE,USR-F03,POROSIDAD,12,420,405,440,0.0296
2026-01-08,QA-DEMO-101,CUERPO VALVULA DEMO,CLIENTE FICTICIO NORTE,PINTURA,NOCHE,USR-F04,RAYADO,8,400,390,415,0.0205
2026-01-09,QA-DEMO-101,CUERPO VALVULA DEMO,CLIENTE FICTICIO NORTE,CONTROL FINAL,TARDE,USR-F05,GOLPE,4,380,370,400,0.0108
2026-01-12,QA-DEMO-202,SOPORTE MOTOR DEMO,CLIENTE FICTICIO SUR,SOLDADURA,TARDE,USR-F06,CORDON INCOMPLETO,16,460,440,480,0.0364
2026-01-13,QA-DEMO-202,SOPORTE MOTOR DEMO,CLIENTE FICTICIO SUR,SOLDADURA,TARDE,USR-F07,POROSIDAD,11,450,430,470,0.0256
2026-01-14,QA-DEMO-202,SOPORTE MOTOR DEMO,CLIENTE FICTICIO SUR,MECANIZADO,MAÑANA,USR-F01,FUERA DE COTA,9,500,485,520,0.0186
2026-01-15,QA-DEMO-202,SOPORTE MOTOR DEMO,CLIENTE FICTICIO SUR,PINTURA,NOCHE,USR-F08,FALTA DE COBERTURA,5,410,400,430,0.0125
2026-01-16,QA-DEMO-202,SOPORTE MOTOR DEMO,CLIENTE FICTICIO SUR,CONTROL FINAL,MAÑANA,USR-F02,RAYADO,3,390,380,410,0.0079
2026-01-19,QA-DEMO-303,TAPA REDUCTOR DEMO,CLIENTE FICTICIO ESTE,MECANIZADO,MAÑANA,USR-F03,FUERA DE COTA,13,520,500,540,0.026
2026-01-20,QA-DEMO-303,TAPA REDUCTOR DEMO,CLIENTE FICTICIO ESTE,MECANIZADO,TARDE,USR-F04,REBABA,10,510,495,535,0.0202
2026-01-21,QA-DEMO-303,TAPA REDUCTOR DEMO,CLIENTE FICTICIO ESTE,LAVADO,NOCHE,USR-F05,CONTAMINACION,7,480,470,500,0.0149
2026-01-22,QA-DEMO-303,TAPA REDUCTOR DEMO,CLIENTE FICTICIO ESTE,CONTROL FINAL,TARDE,USR-F06,GOLPE,2,450,440,470,0.0045
2026-01-23,QA-DEMO-303,TAPA REDUCTOR DEMO,CLIENTE FICTICIO ESTE,PINTURA,MAÑANA,USR-F07,TONO INCORRECTO,1,430,420,450,0.0024
2026-01-26,QA-DEMO-404,BRIDA CONEXION DEMO,CLIENTE FICTICIO OESTE,MECANIZADO,NOCHE,USR-F08,FISURA,15,360,345,380,0.0435
2026-01-27,QA-DEMO-404,BRIDA CONEXION DEMO,CLIENTE FICTICIO OESTE,MECANIZADO,NOCHE,USR-F01,REBABA,9,370,355,390,0.0254
2026-01-28,QA-DEMO-404,BRIDA CONEXION DEMO,CLIENTE FICTICIO OESTE,SOLDADURA,TARDE,USR-F02,POROSIDAD,6,340,330,360,0.0182
2026-01-29,QA-DEMO-404,BRIDA CONEXION DEMO,CLIENTE FICTICIO OESTE,CONTROL FINAL,MAÑANA,USR-F03,DEFORMACION,4,320,310,340,0.0129
2026-01-30,QA-DEMO-404,BRIDA CONEXION DEMO,CLIENTE FICTICIO OESTE,EMBALAJE,TARDE,USR-F04,RAYADO,2,300,295,320,0.0068
2026-02-02,QA-DEMO-505,EJE TRANSMISION DEMO,CLIENTE FICTICIO CENTRAL,RECTIFICADO,MAÑANA,USR-F05,FUERA DE COTA,12,600,580,620,0.0207
2026-02-03,QA-DEMO-505,EJE TRANSMISION DEMO,CLIENTE FICTICIO CENTRAL,RECTIFICADO,TARDE,USR-F06,RUGOSIDAD ALTA,8,590,570,610,0.014
2026-02-04,QA-DEMO-505,EJE TRANSMISION DEMO,CLIENTE FICTICIO CENTRAL,LAVADO,NOCHE,USR-F07,CONTAMINACION,4,550,540,575,0.0074
2026-02-05,QA-DEMO-505,EJE TRANSMISION DEMO,CLIENTE FICTICIO CENTRAL,CONTROL FINAL,MAÑANA,USR-F08,GOLPE,1,520,510,545,0.002
2026-02-06,QA-DEMO-606,CARCASA BOMBA DEMO,CLIENTE FICTICIO NORTE,FUNDICION,NOCHE,USR-F01,POROSIDAD,17,410,390,430,0.0436
2026-02-09,QA-DEMO-606,CARCASA BOMBA DEMO,CLIENTE FICTICIO NORTE,FUNDICION,NOCHE,USR-F02,FISURA,10,400,385,420,0.026
2026-02-10,QA-DEMO-606,CARCASA BOMBA DEMO,CLIENTE FICTICIO NORTE,MECANIZADO,TARDE,USR-F03,REBABA,6,390,375,410,0.016
2026-02-11,QA-DEMO-606,CARCASA BOMBA DEMO,CLIENTE FICTICIO NORTE,PINTURA,MAÑANA,USR-F04,FALTA DE COBERTURA,3,370,360,390,0.0083
2026-02-12,QA-DEMO-606,CARCASA BOMBA DEMO,CLIENTE FICTICIO NORTE,CONTROL FINAL,TARDE,USR-F05,RAYADO,2,350,340,370,0.0059
2026-02-13,QA-DEMO-606,CARCASA BOMBA DEMO,CLIENTE FICTICIO NORTE,EMBALAJE,MAÑANA,USR-F06,ETIQUETA INCORRECTA,1,330,325,350,0.0031
